Satellite: METEOR-M2 3
Start date & time: 2024-06-04   08:18:52 UTC
Orbit: 4879

Time (UTC)   Azimuth   Elevation

08:10:52 7.325467  10.023901
08:18:53 7.263962  10.106098
08:18:54 7.202085  10.188539
08:18:55 7.139833  10.271225
08:18:56 7.077201  10.354158
08:18:57 7.014188  10.437339
08:18:58 6.950789  10.520769
08:18:59 6.887001  10.604450
08:19:00 6.822822  10.688384
08:19:01 6.758247  10.772571
08:19:02 6.693274  10.857014
08:19:03 6.627899  10.941714
08:19:04 6.562118  11.026672
08:19:05 6.495928  11.111890
08:19:06 6.429326  11.197369
08:19:07 6.362308  11.283111
08:19:08 6.294870  11.369118
08:19:09 6.227008  11.455390
08:19:10 6.158720  11.541930
08:19:11 6.090001  11.628738
08:19:12 6.020848  11.715818
08:19:13 5.951256  11.803169
08:19:14 5.881222  11.890793
08:19:15 5.810742  11.978693
08:19:16 5.739812  12.066870
08:19:17 5.668429  12.155325
08:19:18 5.596587  12.244059
08:19:19 5.524284  12.333075
08:19:20 5.451514  12.422374
08:19:21 5.378274  12.511958
08:19:22 5.304560  12.601828
08:19:23 5.230367  12.691985
08:19:24 5.155691  12.782432
08:19:25 5.080528  12.873170
08:19:26 5.004873  12.964200
08:19:27 4.928722  13.055525
08:19:28 4.852071  13.147146
08:19:29 4.774914  13.239064
08:19:30 4.697247  13.331281
08:19:31 4.619067  13.423798
08:19:32 4.540367  13.516618
08:19:33 4.461143  13.609742
08:19:34 4.381390  13.703172
08:19:35 4.301105  13.796909
08:19:36 4.220280  13.890954
08:19:37 4.138913  13.985310
08:19:38 4.056997  14.079979
08:19:39 3.974527  14.174961
08:19:40 3.891499  14.270259
08:19:41 3.807908  14.365873
08:19:42 3.723747  14.461807
08:19:43 3.639012  14.558061
08:19:44 3.553697  14.654637
08:19:45 3.467797  14.751537
08:19:46 3.381306  14.848762
08:19:47 3.294219  14.946314
08:19:48 3.206531  15.044195
08:19:49 3.118234  15.142406
08:19:50 3.029325  15.240949
08:19:51 2.939796  15.339825
08:19:52 2.849642  15.439037
08:19:53 2.758858  15.538586
08:19:54 2.667436  15.638473
08:19:55 2.575371  15.738700
08:19:56 2.482657  15.839269
08:19:57 2.389288  15.940181
08:19:58 2.295256  16.041438
08:19:59 2.200557  16.143042
08:20:00 2.105183  16.244994
08:20:01 2.009127  16.347296
08:20:02 1.912384  16.449949
08:20:03 1.814946  16.552954
08:20:04 1.716807  16.656315
08:20:05 1.617960  16.760031
08:20:06 1.518397  16.864105
08:20:07 1.418113  16.968538
08:20:08 1.317099  17.073332
08:20:09 1.215349  17.178487
08:20:10 1.112856  17.284006
08:20:11 1.009612  17.389891
08:20:12 0.905609  17.496142
08:20:13 0.800840  17.602761
08:20:14 0.695298  17.709749
08:20:15 0.588974  17.817108
08:20:16 0.481862  17.924840
08:20:17 0.373953  18.032945
08:20:18 0.265239  18.141425
08:20:19 0.155712  18.250282
08:20:20 0.045364  18.359516
08:20:21 359.934187  18.469130
08:20:22 359.822172  18.579123
08:20:23 359.709310  18.689498
08:20:24 359.595595  18.800256
08:20:25 359.481016  18.911398
08:20:26 359.365565  19.022925
08:20:27 359.249233  19.134838
08:20:28 359.132011  19.247138
08:20:29 359.013890  19.359827
08:20:30 358.894861  19.472906
08:20:31 358.774915  19.586375
08:20:32 358.654041  19.700236
08:20:33 358.532232  19.814489
08:20:34 358.409477  19.929136
08:20:35 358.285766  20.044176
08:20:36 358.161090  20.159612
08:20:37 358.035438  20.275444
08:20:38 357.908801  20.391673
08:20:39 357.781168  20.508299
08:20:40 357.652529  20.625323
08:20:41 357.522874  20.742746
08:20:42 357.392193  20.860568
08:20:43 357.260473  20.978789
08:20:44 357.127705  21.097411
08:20:45 356.993878  21.216433
08:20:46 356.858981  21.335857
08:20:47 356.723003  21.455681
08:20:48 356.585931  21.575907
08:20:49 356.447756  21.696535
08:20:50 356.308464  21.817564
08:20:51 356.168046  21.938996
08:20:52 356.026488  22.060829
08:20:53 355.883779  22.183063
08:20:54 355.739907  22.305699
08:20:55 355.594860  22.428737
08:20:56 355.448624  22.552175
08:20:57 355.301189  22.676014
08:20:58 355.152541  22.800253
08:20:59 355.002667  22.924891
08:21:00 354.851554  23.049929
08:21:01 354.699190  23.175364
08:21:02 354.545561  23.301197
08:21:03 354.390654  23.427425
08:21:04 354.234455  23.554050
08:21:05 354.076951  23.681068
08:21:06 353.918128  23.808479
08:21:07 353.757972  23.936282
08:21:08 353.596468  24.064476
08:21:09 353.433604  24.193057
08:21:10 353.269364  24.322026
08:21:11 353.103734  24.451380
08:21:12 352.936699  24.581117
08:21:13 352.768245  24.711235
08:21:14 352.598356  24.841733
08:21:15 352.427017  24.972607
08:21:16 352.254214  25.103856
08:21:17 352.079930  25.235476
08:21:18 351.904150  25.367466
08:21:19 351.726858  25.499822
08:21:20 351.548039  25.632541
08:21:21 351.367676  25.765620
08:21:22 351.185754  25.899056
08:21:23 351.002255  26.032845
08:21:24 350.817164  26.166984
08:21:25 350.630464  26.301469
08:21:26 350.442137  26.436296
08:21:27 350.252168  26.571461
08:21:28 350.060539  26.706959
08:21:29 349.867233  26.842786
08:21:30 349.672232  26.978938
08:21:31 349.475519  27.115409
08:21:32 349.277076  27.252194
08:21:33 349.076886  27.389288
08:21:34 348.874930  27.526686
08:21:35 348.671191  27.664381
08:21:36 348.465650  27.802368
08:21:37 348.258289  27.940641
08:21:38 348.049089  28.079193
08:21:39 347.838032  28.218018
08:21:40 347.625099  28.357109
08:21:41 347.410272  28.496459
08:21:42 347.193531  28.636060
08:21:43 346.974857  28.775905
08:21:44 346.754231  28.915987
08:21:45 346.531634  29.056296
08:21:46 346.307046  29.196825
08:21:47 346.080447  29.337564
08:21:48 345.851820  29.478506
08:21:49 345.621142  29.619641
08:21:50 345.388396  29.760959
08:21:51 345.153560  29.902451
08:21:52 344.916615  30.044107
08:21:53 344.677542  30.185916
08:21:54 344.436319  30.327868
08:21:55 344.192927  30.469951
08:21:56 343.947346  30.612155
08:21:57 343.699555  30.754467
08:21:58 343.449535  30.896876
08:21:59 343.197265  31.039370
08:22:00 342.942725  31.181936
08:22:01 342.685894  31.324561
08:22:02 342.426753  31.467231
08:22:03 342.165281  31.609934
08:22:04 341.901458  31.752655
08:22:05 341.635264  31.895380
08:22:06 341.366679  32.038093
08:22:07 341.095683  32.180781
08:22:08 340.822255  32.323427
08:22:09 340.546377  32.466016
08:22:10 340.268027  32.608531
08:22:11 339.987188  32.750956
08:22:12 339.703838  32.893274
08:22:13 339.417959  33.035468
08:22:14 339.129531  33.177519
08:22:15 338.838536  33.319409
08:22:16 338.544955  33.461121
08:22:17 338.248769  33.602635
08:22:18 337.949959  33.743931
08:22:19 337.648508  33.884990
08:22:20 337.344398  34.025792
08:22:21 337.037611  34.166315
08:22:22 336.728130  34.306540
08:22:23 336.415937  34.446444
08:22:24 336.101017  34.586006
08:22:25 335.783354  34.725203
08:22:26 335.462930  34.864013
08:22:27 335.139732  35.002412
08:22:28 334.813744  35.140378
08:22:29 334.484951  35.277886
08:22:30 334.153340  35.414911
08:22:31 333.818897  35.551430
08:22:32 333.481609  35.687417
08:22:33 333.141465  35.822846
08:22:34 332.798451  35.957691
08:22:35 332.452558  36.091927
08:22:36 332.103775  36.225525
08:22:37 331.752091  36.358460
08:22:38 331.397499  36.490704
08:22:39 331.039989  36.622229
08:22:40 330.679554  36.753006
08:22:41 330.316187  36.883007
08:22:42 329.949884  37.012203
08:22:43 329.580638  37.140565
08:22:44 329.208445  37.268063
08:22:45 328.833303  37.394668
08:22:46 328.455210  37.520348
08:22:47 328.074163  37.645073
08:22:48 327.690163  37.768814
08:22:49 327.303212  37.891537
08:22:50 326.913310  38.013212
08:22:51 326.520461  38.133808
08:22:52 326.124670  38.253293
08:22:53 325.725942  38.371634
08:22:54 325.324283  38.488798
08:22:55 324.919702  38.604755
08:22:56 324.512208  38.719471
08:22:57 324.101812  38.832913
08:22:58 323.688525  38.945049
08:22:59 323.272361  39.055845
08:23:00 322.853334  39.165268
08:23:01 322.431462  39.273286
08:23:02 322.006761  39.379865
08:23:03 321.579250  39.484971
08:23:04 321.148951  39.588573
08:23:05 320.715885  39.690635
08:23:06 320.280076  39.791127
08:23:07 319.841549  39.890013
08:23:08 319.400332  39.987263
08:23:09 318.956453  40.082842
08:23:10 318.509941  40.176718
08:23:11 318.060830  40.268859
08:23:12 317.609151  40.359232
08:23:13 317.154941  40.447806
08:23:14 316.698235  40.534549
08:23:15 316.239074  40.619430
08:23:16 315.777495  40.702417
08:23:17 315.313543  40.783480
08:23:18 314.847259  40.862588
08:23:19 314.378689  40.939713
08:23:20 313.907880  41.014824
08:23:21 313.434881  41.087892
08:23:22 312.959741  41.158890
08:23:23 312.482513  41.227790
08:23:24 312.003250  41.294563
08:23:25 311.522006  41.359184
08:23:26 311.038839  41.421627
08:23:27 310.553806  41.481866
08:23:28 310.066967  41.539876
08:23:29 309.578384  41.595635
08:23:30 309.088119  41.649118
08:23:31 308.596236  41.700304
08:23:32 308.102800  41.749171
08:23:33 307.607878  41.795698
08:23:34 307.111539  41.839865
08:23:35 306.613851  41.881654
08:23:36 306.114885  41.921046
08:23:37 305.614712  41.958025
08:23:38 305.113406  41.992574
08:23:39 304.611039  42.024678
08:23:40 304.107687  42.054323
08:23:41 303.603426  42.081496
08:23:42 303.098331  42.106185
08:23:43 302.592479  42.128379
08:23:44 302.085950  42.148067
08:23:45 301.578821  42.165241
08:23:46 301.071171  42.179894
08:23:47 300.563080  42.192018
08:23:48 300.054628  42.201607
08:23:49 299.545895  42.208659
08:23:50 299.036962  42.213168
08:23:51 298.527910  42.215133
08:23:52 298.018819  42.214552
08:23:53 297.509771  42.211426
08:23:54 297.000846  42.205757
08:23:55 296.492125  42.197545
08:23:56 295.983690  42.186795
08:23:57 295.475619  42.173512
08:23:58 294.967993  42.157700
08:23:59 294.460892  42.139367
08:24:00 293.954394  42.118520
08:24:01 293.448578  42.095170
08:24:02 292.943523  42.069324
08:24:03 292.439304  42.040996
08:24:04 291.935999  42.010197
08:24:05 291.433683  41.976939
08:24:06 290.932430  41.941238
08:24:07 290.432315  41.903109
08:24:08 289.933409  41.862567
08:24:09 289.435784  41.819631
08:24:10 288.939512  41.774317
08:24:11 288.444660  41.726646
08:24:12 287.951296  41.676636
08:24:13 287.459489  41.624310
08:24:14 286.969301  41.569687
08:24:15 286.480799  41.512791
08:24:16 285.994043  41.453646
08:24:17 285.509096  41.392274
08:24:18 285.026016  41.328700
08:24:19 284.544861  41.262951
08:24:20 284.065689  41.195051
08:24:21 283.588554  41.125029
08:24:22 283.113509  41.052910
08:24:23 282.640606  40.978723
08:24:24 282.169894  40.902496
08:24:25 281.701423  40.824259
08:24:26 281.235239  40.744040
08:24:27 280.771387  40.661870
08:24:28 280.309910  40.577778
08:24:29 279.850851  40.491796
08:24:30 279.394248  40.403955
08:24:31 278.940140  40.314287
08:24:32 278.488565  40.222822
08:24:33 278.039556  40.129592
08:24:34 277.593148  40.034631
08:24:35 277.149371  39.937971
08:24:36 276.708256  39.839644
08:24:37 276.269832  39.739683
08:24:38 275.834124  39.638121
